Institution_Raw,Institution,Institution_Standardized,Academic_Year,Enrolment,Student_Status,Province,Record_Type,Academic_Year_Start,Academic_Year_End
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2021/2022,13989.0,Canadian,Alberta,Institution,2021,2022
"Alberta University of the Arts, Alberta 11",Alberta University of the Arts,Alberta University of the Arts,2021/2022,1011.0,Canadian,Alberta,Institution,2021,2022
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2021/2022,5613.0,Canadian,Alberta,Institution,2021,2022
"Olds College, Alberta",Olds College,Olds College,2021/2022,1431.0,Canadian,Alberta,Institution,2021,2022
"Lakeland College, Alberta",Lakeland College,Lakeland College,2021/2022,2097.0,Canadian,Alberta,Institution,2021,2022
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2021/2022,1599.0,Canadian,Alberta,Institution,2021,2022
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2021/2022,4194.0,Canadian,Alberta,Institution,2021,2022
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2021/2022,1833.0,Canadian,Alberta,Institution,2021,2022
"Keyano College, Alberta",Keyano College,Keyano College,2021/2022,1062.0,Canadian,Alberta,Institution,2021,2022
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2021/2022,3444.0,Canadian,Alberta,Institution,2021,2022
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2021/2022,10998.0,Canadian,Alberta,Institution,2021,2022
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2021/2022,10254.0,Canadian,Alberta,Institution,2021,2022
"NorQuest College, Alberta",NorQuest College,NorQuest College,2021/2022,6237.0,Canadian,Alberta,Institution,2021,2022
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2021/2022,1566.0,Canadian,Alberta,Institution,2021,2022
"Portage College, Alberta",Portage College,Portage College,2021/2022,1056.0,Canadian,Alberta,Institution,2021,2022
Alberta 11,Alberta,Alberta,2022/2023,175698.0,Canadian,Alberta,Province Total,2022,2023
"University of Alberta, Alberta",University of Alberta,University of Alberta,2022/2023,36063.0,Canadian,Alberta,Institution,2022,2023
"Athabasca University, Alberta",Athabasca University,Athabasca University,2022/2023,16008.0,Canadian,Alberta,Institution,2022,2023
"University of Calgary, Alberta",University of Calgary,University of Calgary,2022/2023,30765.0,Canadian,Alberta,Institution,2022,2023
"Burman University, Alberta",Burman University,Burman University,2022/2023,288.0,Canadian,Alberta,Institution,2022,2023
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2022/2023,2178.0,Canadian,Alberta,Institution,2022,2023
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2022/2023,7722.0,Canadian,Alberta,Institution,2022,2023
"The King's University, Alberta",The King's University,The King's University,2022/2023,726.0,Canadian,Alberta,Institution,2022,2023
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2022/2023,933.0,Canadian,Alberta,Institution,2022,2023
"Ambrose University, Alberta",Ambrose University,Ambrose University,2022/2023,510.0,Canadian,Alberta,Institution,2022,2023
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2022/2023,14676.0,Canadian,Alberta,Institution,2022,2023
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2022/2023,13746.0,Canadian,Alberta,Institution,2022,2023
"Alberta University of the Arts, Alberta 11",Alberta University of the Arts,Alberta University of the Arts,2022/2023,1026.0,Canadian,Alberta,Institution,2022,2023
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2022/2023,5949.0,Canadian,Alberta,Institution,2022,2023
"Olds College, Alberta",Olds College,Olds College,2022/2023,1668.0,Canadian,Alberta,Institution,2022,2023
"Lakeland College, Alberta",Lakeland College,Lakeland College,2022/2023,2202.0,Canadian,Alberta,Institution,2022,2023
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2022/2023,1500.0,Canadian,Alberta,Institution,2022,2023
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2022/2023,4089.0,Canadian,Alberta,Institution,2022,2023
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2022/2023,1821.0,Canadian,Alberta,Institution,2022,2023
"Keyano College, Alberta",Keyano College,Keyano College,2022/2023,1014.0,Canadian,Alberta,Institution,2022,2023
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2022/2023,3360.0,Canadian,Alberta,Institution,2022,2023
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2022/2023,10083.0,Canadian,Alberta,Institution,2022,2023
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2022/2023,9750.0,Canadian,Alberta,Institution,2022,2023
"NorQuest College, Alberta",NorQuest College,NorQuest College,2022/2023,6675.0,Canadian,Alberta,Institution,2022,2023
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2022/2023,1737.0,Canadian,Alberta,Institution,2022,2023
"Portage College, Alberta",Portage College,Portage College,2022/2023,1200.0,Canadian,Alberta,Institution,2022,2023
Alberta 11,Alberta,Alberta,2023/2024,179535.0,Canadian,Alberta,Province Total,2023,2024
"University of Alberta, Alberta",University of Alberta,University of Alberta,2023/2024,36972.0,Canadian,Alberta,Institution,2023,2024
"Athabasca University, Alberta",Athabasca University,Athabasca University,2023/2024,15486.0,Canadian,Alberta,Institution,2023,2024
"University of Calgary, Alberta",University of Calgary,University of Calgary,2023/2024,31602.0,Canadian,Alberta,Institution,2023,2024
"Burman University, Alberta",Burman University,Burman University,2023/2024,261.0,Canadian,Alberta,Institution,2023,2024
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2023/2024,2076.0,Canadian,Alberta,Institution,2023,2024
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2023/2024,7350.0,Canadian,Alberta,Institution,2023,2024
"The King's University, Alberta",The King's University,The King's University,2023/2024,711.0,Canadian,Alberta,Institution,2023,2024
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2023/2024,915.0,Canadian,Alberta,Institution,2023,2024
"Ambrose University, Alberta",Ambrose University,Ambrose University,2023/2024,510.0,Canadian,Alberta,Institution,2023,2024
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2023/2024,15342.0,Canadian,Alberta,Institution,2023,2024
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2023/2024,14169.0,Canadian,Alberta,Institution,2023,2024
"Alberta University of the Arts, Alberta 11",Alberta University of the Arts,Alberta University of the Arts,2023/2024,1101.0,Canadian,Alberta,Institution,2023,2024
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2023/2024,6252.0,Canadian,Alberta,Institution,2023,2024
"Olds College, Alberta",Olds College,Olds College,2023/2024,1797.0,Canadian,Alberta,Institution,2023,2024
"Lakeland College, Alberta",Lakeland College,Lakeland College,2023/2024,2265.0,Canadian,Alberta,Institution,2023,2024
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2023/2024,1605.0,Canadian,Alberta,Institution,2023,2024
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2023/2024,3972.0,Canadian,Alberta,Institution,2023,2024
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2023/2024,1911.0,Canadian,Alberta,Institution,2023,2024
"Keyano College, Alberta",Keyano College,Keyano College,2023/2024,1053.0,Canadian,Alberta,Institution,2023,2024
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2023/2024,3465.0,Canadian,Alberta,Institution,2023,2024
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2023/2024,10533.0,Canadian,Alberta,Institution,2023,2024
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2023/2024,10134.0,Canadian,Alberta,Institution,2023,2024
"NorQuest College, Alberta",NorQuest College,NorQuest College,2023/2024,6654.0,Canadian,Alberta,Institution,2023,2024
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2023/2024,1929.0,Canadian,Alberta,Institution,2023,2024
"Portage College, Alberta",Portage College,Portage College,2023/2024,1473.0,Canadian,Alberta,Institution,2023,2024
Alberta 11,Alberta,Alberta,2014/2015,16458.0,International,Alberta,Province Total,2014,2015
"University of Alberta, Alberta",University of Alberta,University of Alberta,2014/2015,6831.0,International,Alberta,Institution,2014,2015
"Athabasca University, Alberta",Athabasca University,Athabasca University,2014/2015,354.0,International,Alberta,Institution,2014,2015
"University of Calgary, Alberta",University of Calgary,University of Calgary,2014/2015,3111.0,International,Alberta,Institution,2014,2015
"Burman University, Alberta",Burman University,Burman University,2014/2015,51.0,International,Alberta,Institution,2014,2015
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2014/2015,138.0,International,Alberta,Institution,2014,2015
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2014/2015,543.0,International,Alberta,Institution,2014,2015
"The King's University, Alberta",The King's University,The King's University,2014/2015,39.0,International,Alberta,Institution,2014,2015
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2014/2015,9.0,International,Alberta,Institution,2014,2015
"Ambrose University, Alberta",Ambrose University,Ambrose University,2014/2015,18.0,International,Alberta,Institution,2014,2015
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2014/2015,1005.0,International,Alberta,Institution,2014,2015
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2014/2015,420.0,International,Alberta,Institution,2014,2015
"Alberta College of Art and Design, Alberta 11",Alberta College of Art and Design,Alberta University of the Arts,2014/2015,63.0,International,Alberta,Institution,2014,2015
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2014/2015,465.0,International,Alberta,Institution,2014,2015
"Olds College, Alberta",Olds College,Olds College,2014/2015,42.0,International,Alberta,Institution,2014,2015
"Lakeland College, Alberta",Lakeland College,Lakeland College,2014/2015,51.0,International,Alberta,Institution,2014,2015
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2014/2015,39.0,International,Alberta,Institution,2014,2015
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2014/2015,204.0,International,Alberta,Institution,2014,2015
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2014/2015,234.0,International,Alberta,Institution,2014,2015
"Keyano College, Alberta",Keyano College,Keyano College,2014/2015,72.0,International,Alberta,Institution,2014,2015
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2014/2015,66.0,International,Alberta,Institution,2014,2015
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2014/2015,1215.0,International,Alberta,Institution,2014,2015
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2014/2015,1380.0,International,Alberta,Institution,2014,2015
"NorQuest College, Alberta",NorQuest College,NorQuest College,2014/2015,99.0,International,Alberta,Institution,2014,2015
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2014/2015,21.0,International,Alberta,Institution,2014,2015
"Portage College, Alberta",Portage College,Portage College,2014/2015,3.0,International,Alberta,Institution,2014,2015
Alberta 11,Alberta,Alberta,2015/2016,17478.0,International,Alberta,Province Total,2015,2016
"University of Alberta, Alberta",University of Alberta,University of Alberta,2015/2016,6672.0,International,Alberta,Institution,2015,2016
"Athabasca University, Alberta",Athabasca University,Athabasca University,2015/2016,429.0,International,Alberta,Institution,2015,2016
"University of Calgary, Alberta",University of Calgary,University of Calgary,2015/2016,3351.0,International,Alberta,Institution,2015,2016
"Burman University, Alberta",Burman University,Burman University,2015/2016,57.0,International,Alberta,Institution,2015,2016
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2015/2016,147.0,International,Alberta,Institution,2015,2016
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2015/2016,537.0,International,Alberta,Institution,2015,2016
"The King's University, Alberta",The King's University,The King's University,2015/2016,51.0,International,Alberta,Institution,2015,2016
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2015/2016,6.0,International,Alberta,Institution,2015,2016
"Ambrose University, Alberta",Ambrose University,Ambrose University,2015/2016,15.0,International,Alberta,Institution,2015,2016
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2015/2016,1179.0,International,Alberta,Institution,2015,2016
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2015/2016,405.0,International,Alberta,Institution,2015,2016
"Alberta College of Art and Design, Alberta 11",Alberta College of Art and Design,Alberta University of the Arts,2015/2016,69.0,International,Alberta,Institution,2015,2016
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2015/2016,579.0,International,Alberta,Institution,2015,2016
"Olds College, Alberta",Olds College,Olds College,2015/2016,30.0,International,Alberta,Institution,2015,2016
"Lakeland College, Alberta",Lakeland College,Lakeland College,2015/2016,39.0,International,Alberta,Institution,2015,2016
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2015/2016,57.0,International,Alberta,Institution,2015,2016
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2015/2016,198.0,International,Alberta,Institution,2015,2016
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2015/2016,213.0,International,Alberta,Institution,2015,2016
"Keyano College, Alberta",Keyano College,Keyano College,2015/2016,90.0,International,Alberta,Institution,2015,2016
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2015/2016,90.0,International,Alberta,Institution,2015,2016
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2015/2016,1326.0,International,Alberta,Institution,2015,2016
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2015/2016,1719.0,International,Alberta,Institution,2015,2016
"NorQuest College, Alberta",NorQuest College,NorQuest College,2015/2016,204.0,International,Alberta,Institution,2015,2016
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2015/2016,12.0,International,Alberta,Institution,2015,2016
"Portage College, Alberta",Portage College,Portage College,2015/2016,9.0,International,Alberta,Institution,2015,2016
Alberta 11,Alberta,Alberta,2016/2017,18303.0,International,Alberta,Province Total,2016,2017
"University of Alberta, Alberta",University of Alberta,University of Alberta,2016/2017,6777.0,International,Alberta,Institution,2016,2017
"Athabasca University, Alberta",Athabasca University,Athabasca University,2016/2017,468.0,International,Alberta,Institution,2016,2017
"University of Calgary, Alberta",University of Calgary,University of Calgary,2016/2017,3492.0,International,Alberta,Institution,2016,2017
"Burman University, Alberta",Burman University,Burman University,2016/2017,63.0,International,Alberta,Institution,2016,2017
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2016/2017,168.0,International,Alberta,Institution,2016,2017
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2016/2017,546.0,International,Alberta,Institution,2016,2017
"The King's University, Alberta",The King's University,The King's University,2016/2017,57.0,International,Alberta,Institution,2016,2017
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2016/2017,6.0,International,Alberta,Institution,2016,2017
"Ambrose University, Alberta",Ambrose University,Ambrose University,2016/2017,27.0,International,Alberta,Institution,2016,2017
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2016/2017,1035.0,International,Alberta,Institution,2016,2017
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2016/2017,420.0,International,Alberta,Institution,2016,2017
"Alberta College of Art and Design, Alberta 11",Alberta College of Art and Design,Alberta University of the Arts,2016/2017,66.0,International,Alberta,Institution,2016,2017
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2016/2017,714.0,International,Alberta,Institution,2016,2017
"Olds College, Alberta",Olds College,Olds College,2016/2017,30.0,International,Alberta,Institution,2016,2017
"Lakeland College, Alberta",Lakeland College,Lakeland College,2016/2017,72.0,International,Alberta,Institution,2016,2017
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2016/2017,45.0,International,Alberta,Institution,2016,2017
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2016/2017,234.0,International,Alberta,Institution,2016,2017
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2016/2017,216.0,International,Alberta,Institution,2016,2017
"Keyano College, Alberta",Keyano College,Keyano College,2016/2017,102.0,International,Alberta,Institution,2016,2017
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2016/2017,111.0,International,Alberta,Institution,2016,2017
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2016/2017,1422.0,International,Alberta,Institution,2016,2017
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2016/2017,1839.0,International,Alberta,Institution,2016,2017
"NorQuest College, Alberta",NorQuest College,NorQuest College,2016/2017,366.0,International,Alberta,Institution,2016,2017
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2016/2017,9.0,International,Alberta,Institution,2016,2017
"Portage College, Alberta",Portage College,Portage College,2016/2017,15.0,International,Alberta,Institution,2016,2017
Alberta 11,Alberta,Alberta,2017/2018,18798.0,International,Alberta,Province Total,2017,2018
"University of Alberta, Alberta",University of Alberta,University of Alberta,2017/2018,7305.0,International,Alberta,Institution,2017,2018
"Athabasca University, Alberta",Athabasca University,Athabasca University,2017/2018,531.0,International,Alberta,Institution,2017,2018
"University of Calgary, Alberta",University of Calgary,University of Calgary,2017/2018,3708.0,International,Alberta,Institution,2017,2018
"Burman University, Alberta",Burman University,Burman University,2017/2018,63.0,International,Alberta,Institution,2017,2018
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2017/2018,156.0,International,Alberta,Institution,2017,2018
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2017/2018,501.0,International,Alberta,Institution,2017,2018
"The King's University, Alberta",The King's University,The King's University,2017/2018,63.0,International,Alberta,Institution,2017,2018
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2017/2018,18.0,International,Alberta,Institution,2017,2018
"Ambrose University, Alberta",Ambrose University,Ambrose University,2017/2018,30.0,International,Alberta,Institution,2017,2018
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2017/2018,1011.0,International,Alberta,Institution,2017,2018
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2017/2018,351.0,International,Alberta,Institution,2017,2018
"Alberta College of Art and Design, Alberta 11",Alberta College of Art and Design,Alberta University of the Arts,2017/2018,81.0,International,Alberta,Institution,2017,2018
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2017/2018,1023.0,International,Alberta,Institution,2017,2018
"Olds College, Alberta",Olds College,Olds College,2017/2018,42.0,International,Alberta,Institution,2017,2018
"Lakeland College, Alberta",Lakeland College,Lakeland College,2017/2018,138.0,International,Alberta,Institution,2017,2018
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2017/2018,51.0,International,Alberta,Institution,2017,2018
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2017/2018,231.0,International,Alberta,Institution,2017,2018
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2017/2018,252.0,International,Alberta,Institution,2017,2018
"Keyano College, Alberta",Keyano College,Keyano College,2017/2018,93.0,International,Alberta,Institution,2017,2018
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2017/2018,87.0,International,Alberta,Institution,2017,2018
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2017/2018,1338.0,International,Alberta,Institution,2017,2018
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2017/2018,1245.0,International,Alberta,Institution,2017,2018
"NorQuest College, Alberta",NorQuest College,NorQuest College,2017/2018,477.0,International,Alberta,Institution,2017,2018
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2017/2018,3.0,International,Alberta,Institution,2017,2018
"Portage College, Alberta",Portage College,Portage College,2017/2018,9.0,International,Alberta,Institution,2017,2018
Alberta 11,Alberta,Alberta,2018/2019,21663.0,International,Alberta,Province Total,2018,2019
"University of Alberta, Alberta",University of Alberta,University of Alberta,2018/2019,7716.0,International,Alberta,Institution,2018,2019
"Athabasca University, Alberta",Athabasca University,Athabasca University,2018/2019,537.0,International,Alberta,Institution,2018,2019
"University of Calgary, Alberta",University of Calgary,University of Calgary,2018/2019,4203.0,International,Alberta,Institution,2018,2019
"Burman University, Alberta",Burman University,Burman University,2018/2019,84.0,International,Alberta,Institution,2018,2019
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2018/2019,255.0,International,Alberta,Institution,2018,2019
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2018/2019,480.0,International,Alberta,Institution,2018,2019
"The King's University, Alberta",The King's University,The King's University,2018/2019,63.0,International,Alberta,Institution,2018,2019
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2018/2019,12.0,International,Alberta,Institution,2018,2019
"Ambrose University, Alberta",Ambrose University,Ambrose University,2018/2019,30.0,International,Alberta,Institution,2018,2019
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2018/2019,912.0,International,Alberta,Institution,2018,2019
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2018/2019,357.0,International,Alberta,Institution,2018,2019
"Alberta University of the Arts, Alberta 11",Alberta University of the Arts,Alberta University of the Arts,2018/2019,87.0,International,Alberta,Institution,2018,2019
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2018/2019,1575.0,International,Alberta,Institution,2018,2019
"Olds College, Alberta",Olds College,Olds College,2018/2019,114.0,International,Alberta,Institution,2018,2019
"Lakeland College, Alberta",Lakeland College,Lakeland College,2018/2019,264.0,International,Alberta,Institution,2018,2019
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2018/2019,90.0,International,Alberta,Institution,2018,2019
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2018/2019,444.0,International,Alberta,Institution,2018,2019
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2018/2019,291.0,International,Alberta,Institution,2018,2019
"Keyano College, Alberta",Keyano College,Keyano College,2018/2019,69.0,International,Alberta,Institution,2018,2019
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2018/2019,117.0,International,Alberta,Institution,2018,2019
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2018/2019,1416.0,International,Alberta,Institution,2018,2019
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2018/2019,1596.0,International,Alberta,Institution,2018,2019
"NorQuest College, Alberta",NorQuest College,NorQuest College,2018/2019,942.0,International,Alberta,Institution,2018,2019
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2018/2019,0.0,International,Alberta,Institution,2018,2019
"Portage College, Alberta",Portage College,Portage College,2018/2019,6.0,International,Alberta,Institution,2018,2019
Alberta 11,Alberta,Alberta,2019/2020,24636.0,International,Alberta,Province Total,2019,2020
"University of Alberta, Alberta",University of Alberta,University of Alberta,2019/2020,8205.0,International,Alberta,Institution,2019,2020
"Athabasca University, Alberta",Athabasca University,Athabasca University,2019/2020,651.0,International,Alberta,Institution,2019,2020
"University of Calgary, Alberta",University of Calgary,University of Calgary,2019/2020,4860.0,International,Alberta,Institution,2019,2020
"Burman University, Alberta",Burman University,Burman University,2019/2020,93.0,International,Alberta,Institution,2019,2020
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2019/2020,453.0,International,Alberta,Institution,2019,2020
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2019/2020,561.0,International,Alberta,Institution,2019,2020
"The King's University, Alberta",The King's University,The King's University,2019/2020,87.0,International,Alberta,Institution,2019,2020
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2019/2020,15.0,International,Alberta,Institution,2019,2020
"Ambrose University, Alberta",Ambrose University,Ambrose University,2019/2020,9.0,International,Alberta,Institution,2019,2020
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2019/2020,690.0,International,Alberta,Institution,2019,2020
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2019/2020,348.0,International,Alberta,Institution,2019,2020
"Alberta University of the Arts, Alberta 11",Alberta University of the Arts,Alberta University of the Arts,2019/2020,90.0,International,Alberta,Institution,2019,2020
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2019/2020,1803.0,International,Alberta,Institution,2019,2020
"Olds College, Alberta",Olds College,Olds College,2019/2020,123.0,International,Alberta,Institution,2019,2020
"Lakeland College, Alberta",Lakeland College,Lakeland College,2019/2020,255.0,International,Alberta,Institution,2019,2020
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2019/2020,186.0,International,Alberta,Institution,2019,2020
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2019/2020,615.0,International,Alberta,Institution,2019,2020
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2019/2020,303.0,International,Alberta,Institution,2019,2020
"Keyano College, Alberta",Keyano College,Keyano College,2019/2020,96.0,International,Alberta,Institution,2019,2020
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2019/2020,168.0,International,Alberta,Institution,2019,2020
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2019/2020,1743.0,International,Alberta,Institution,2019,2020
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2019/2020,2031.0,International,Alberta,Institution,2019,2020
"NorQuest College, Alberta",NorQuest College,NorQuest College,2019/2020,1245.0,International,Alberta,Institution,2019,2020
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2019/2020,3.0,International,Alberta,Institution,2019,2020
"Portage College, Alberta",Portage College,Portage College,2019/2020,6.0,International,Alberta,Institution,2019,2020
Alberta 11,Alberta,Alberta,2020/2021,23667.0,International,Alberta,Province Total,2020,2021
"University of Alberta, Alberta",University of Alberta,University of Alberta,2020/2021,7938.0,International,Alberta,Institution,2020,2021
"Athabasca University, Alberta",Athabasca University,Athabasca University,2020/2021,630.0,International,Alberta,Institution,2020,2021
"University of Calgary, Alberta",University of Calgary,University of Calgary,2020/2021,5031.0,International,Alberta,Institution,2020,2021
"Burman University, Alberta",Burman University,Burman University,2020/2021,90.0,International,Alberta,Institution,2020,2021
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2020/2021,546.0,International,Alberta,Institution,2020,2021
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2020/2021,510.0,International,Alberta,Institution,2020,2021
"The King's University, Alberta",The King's University,The King's University,2020/2021,84.0,International,Alberta,Institution,2020,2021
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2020/2021,12.0,International,Alberta,Institution,2020,2021
"Ambrose University, Alberta",Ambrose University,Ambrose University,2020/2021,30.0,International,Alberta,Institution,2020,2021
