Institution_Raw,Institution,Institution_Standardized,Academic_Year,Enrolment,Student_Status,Province,Record_Type,Academic_Year_Start,Academic_Year_End
"The King's University, Alberta",The King's University,The King's University,2017/2018,810.0,Total,Alberta,Institution,2017,2018
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2017/2018,888.0,Total,Alberta,Institution,2017,2018
"Ambrose University, Alberta",Ambrose University,Ambrose University,2017/2018,606.0,Total,Alberta,Institution,2017,2018
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2017/2018,16206.0,Total,Alberta,Institution,2017,2018
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2017/2018,13209.0,Total,Alberta,Institution,2017,2018
"Alberta College of Art and Design, Alberta 11",Alberta College of Art and Design,Alberta University of the Arts,2017/2018,1107.0,Total,Alberta,Institution,2017,2018
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2017/2018,7506.0,Total,Alberta,Institution,2017,2018
"Olds College, Alberta",Olds College,Olds College,2017/2018,1236.0,Total,Alberta,Institution,2017,2018
"Lakeland College, Alberta",Lakeland College,Lakeland College,2017/2018,2361.0,Total,Alberta,Institution,2017,2018
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2017/2018,1935.0,Total,Alberta,Institution,2017,2018
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2017/2018,4584.0,Total,Alberta,Institution,2017,2018
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2017/2018,2355.0,Total,Alberta,Institution,2017,2018
"Keyano College, Alberta",Keyano College,Keyano College,2017/2018,1242.0,Total,Alberta,Institution,2017,2018
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2017/2018,3951.0,Total,Alberta,Institution,2017,2018
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2017/2018,12972.0,Total,Alberta,Institution,2017,2018
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2017/2018,13041.0,Total,Alberta,Institution,2017,2018
"NorQuest College, Alberta",NorQuest College,NorQuest College,2017/2018,6345.0,Total,Alberta,Institution,2017,2018
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2017/2018,1413.0,Total,Alberta,Institution,2017,2018
"Portage College, Alberta",Portage College,Portage College,2017/2018,933.0,Total,Alberta,Institution,2017,2018
Alberta 11,Alberta,Alberta,2018/2019,200391.0,Total,Alberta,Province Total,2018,2019
"University of Alberta, Alberta",University of Alberta,University of Alberta,2018/2019,40017.0,Total,Alberta,Institution,2018,2019
"Athabasca University, Alberta",Athabasca University,Athabasca University,2018/2019,18561.0,Total,Alberta,Institution,2018,2019
"University of Calgary, Alberta",University of Calgary,University of Calgary,2018/2019,34785.0,Total,Alberta,Institution,2018,2019
"Burman University, Alberta",Burman University,Burman University,2018/2019,435.0,Total,Alberta,Institution,2018,2019
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2018/2019,2235.0,Total,Alberta,Institution,2018,2019
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2018/2019,8709.0,Total,Alberta,Institution,2018,2019
"The King's University, Alberta",The King's University,The King's University,2018/2019,825.0,Total,Alberta,Institution,2018,2019
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2018/2019,921.0,Total,Alberta,Institution,2018,2019
"Ambrose University, Alberta",Ambrose University,Ambrose University,2018/2019,594.0,Total,Alberta,Institution,2018,2019
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2018/2019,15894.0,Total,Alberta,Institution,2018,2019
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2018/2019,13362.0,Total,Alberta,Institution,2018,2019
"Alberta University of the Arts, Alberta 11",Alberta University of the Arts,Alberta University of the Arts,2018/2019,1077.0,Total,Alberta,Institution,2018,2019
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2018/2019,8451.0,Total,Alberta,Institution,2018,2019
"Olds College, Alberta",Olds College,Olds College,2018/2019,1365.0,Total,Alberta,Institution,2018,2019
"Lakeland College, Alberta",Lakeland College,Lakeland College,2018/2019,2493.0,Total,Alberta,Institution,2018,2019
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2018/2019,1953.0,Total,Alberta,Institution,2018,2019
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2018/2019,4845.0,Total,Alberta,Institution,2018,2019
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2018/2019,2310.0,Total,Alberta,Institution,2018,2019
"Keyano College, Alberta",Keyano College,Keyano College,2018/2019,1326.0,Total,Alberta,Institution,2018,2019
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2018/2019,4023.0,Total,Alberta,Institution,2018,2019
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2018/2019,13194.0,Total,Alberta,Institution,2018,2019
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2018/2019,13587.0,Total,Alberta,Institution,2018,2019
"NorQuest College, Alberta",NorQuest College,NorQuest College,2018/2019,7035.0,Total,Alberta,Institution,2018,2019
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2018/2019,1416.0,Total,Alberta,Institution,2018,2019
"Portage College, Alberta",Portage College,Portage College,2018/2019,987.0,Total,Alberta,Institution,2018,2019
Alberta 11,Alberta,Alberta,2019/2020,203823.0,Total,Alberta,Province Total,2019,2020
"University of Alberta, Alberta",University of Alberta,University of Alberta,2019/2020,40590.0,Total,Alberta,Institution,2019,2020
"Athabasca University, Alberta",Athabasca University,Athabasca University,2019/2020,18930.0,Total,Alberta,Institution,2019,2020
"University of Calgary, Alberta",University of Calgary,University of Calgary,2019/2020,35556.0,Total,Alberta,Institution,2019,2020
"Burman University, Alberta",Burman University,Burman University,2019/2020,459.0,Total,Alberta,Institution,2019,2020
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2019/2020,2679.0,Total,Alberta,Institution,2019,2020
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2019/2020,8949.0,Total,Alberta,Institution,2019,2020
"The King's University, Alberta",The King's University,The King's University,2019/2020,834.0,Total,Alberta,Institution,2019,2020
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2019/2020,999.0,Total,Alberta,Institution,2019,2020
"Ambrose University, Alberta",Ambrose University,Ambrose University,2019/2020,573.0,Total,Alberta,Institution,2019,2020
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2019/2020,15639.0,Total,Alberta,Institution,2019,2020
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2019/2020,13674.0,Total,Alberta,Institution,2019,2020
"Alberta University of the Arts, Alberta 11",Alberta University of the Arts,Alberta University of the Arts,2019/2020,1143.0,Total,Alberta,Institution,2019,2020
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2019/2020,8445.0,Total,Alberta,Institution,2019,2020
"Olds College, Alberta",Olds College,Olds College,2019/2020,1461.0,Total,Alberta,Institution,2019,2020
"Lakeland College, Alberta",Lakeland College,Lakeland College,2019/2020,2427.0,Total,Alberta,Institution,2019,2020
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2019/2020,2046.0,Total,Alberta,Institution,2019,2020
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2019/2020,5040.0,Total,Alberta,Institution,2019,2020
"Medicine Hat College, Alberta",Medicine Hat College,Medicine Hat College,2019/2020,2184.0,Total,Alberta,Institution,2019,2020
"Keyano College, Alberta",Keyano College,Keyano College,2019/2020,1332.0,Total,Alberta,Institution,2019,2020
"Red Deer Polytechnic, Alberta",Red Deer Polytechnic,Red Deer Polytechnic,2019/2020,4104.0,Total,Alberta,Institution,2019,2020
"Northern Alberta Institute of Technology, Alberta",Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,2019/2020,13242.0,Total,Alberta,Institution,2019,2020
"Southern Alberta Institute of Technology, Alberta",Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,2019/2020,13629.0,Total,Alberta,Institution,2019,2020
"NorQuest College, Alberta",NorQuest College,NorQuest College,2019/2020,7536.0,Total,Alberta,Institution,2019,2020
"Northern Lakes College, Alberta",Northern Lakes College,Northern Lakes College,2019/2020,1377.0,Total,Alberta,Institution,2019,2020
"Portage College, Alberta",Portage College,Portage College,2019/2020,969.0,Total,Alberta,Institution,2019,2020
Alberta 11,Alberta,Alberta,2020/2021,203523.0,Total,Alberta,Province Total,2020,2021
"University of Alberta, Alberta",University of Alberta,University of Alberta,2020/2021,42270.0,Total,Alberta,Institution,2020,2021
"Athabasca University, Alberta",Athabasca University,Athabasca University,2020/2021,20535.0,Total,Alberta,Institution,2020,2021
"University of Calgary, Alberta",University of Calgary,University of Calgary,2020/2021,36543.0,Total,Alberta,Institution,2020,2021
"Burman University, Alberta",Burman University,Burman University,2020/2021,390.0,Total,Alberta,Institution,2020,2021
"Concordia University of Edmonton, Alberta",Concordia University of Edmonton,Concordia University of Edmonton,2020/2021,2997.0,Total,Alberta,Institution,2020,2021
"University of Lethbridge, Alberta",University of Lethbridge,University of Lethbridge,2020/2021,8829.0,Total,Alberta,Institution,2020,2021
"The King's University, Alberta",The King's University,The King's University,2020/2021,849.0,Total,Alberta,Institution,2020,2021
"St. Mary's University, Alberta",St. Mary's University,St. Mary's University,2020/2021,1020.0,Total,Alberta,Institution,2020,2021
"Ambrose University, Alberta",Ambrose University,Ambrose University,2020/2021,600.0,Total,Alberta,Institution,2020,2021
"Grant MacEwan University, Alberta",Grant MacEwan University,Grant MacEwan University,2020/2021,15780.0,Total,Alberta,Institution,2020,2021
"Mount Royal University, Alberta",Mount Royal University,Mount Royal University,2020/2021,14019.0,Total,Alberta,Institution,2020,2021
"Alberta University of the Arts, Alberta 11",Alberta University of the Arts,Alberta University of the Arts,2020/2021,1110.0,Total,Alberta,Institution,2020,2021
"Bow Valley College, Alberta",Bow Valley College,Bow Valley College,2020/2021,7032.0,Total,Alberta,Institution,2020,2021
"Olds College, Alberta",Olds College,Olds College,2020/2021,1383.0,Total,Alberta,Institution,2020,2021
"Lakeland College, Alberta",Lakeland College,Lakeland College,2020/2021,2073.0,Total,Alberta,Institution,2020,2021
"Northwestern Polytechnic, Alberta",Northwestern Polytechnic,Northwestern Polytechnic,2020/2021,1764.0,Total,Alberta,Institution,2020,2021
"Lethbridge College, Alberta",Lethbridge College,Lethbridge College,2020/2021,4707.0,Total,Alberta,Institution,2020,2021
