Province,Institution,Record_Type,Academic_Year,Academic_Year_Start,Academic_Year_End,Enrolment
Alberta,University of Calgary,Institution,2017/2018,2017,2018,33903
Alberta,University of Calgary,Institution,2018/2019,2018,2019,34785
Alberta,University of Calgary,Institution,2019/2020,2019,2020,35556
Alberta,University of Calgary,Institution,2020/2021,2020,2021,36543
Alberta,University of Calgary,Institution,2021/2022,2021,2022,37200
Alberta,University of Calgary,Institution,2022/2023,2022,2023,37680
Alberta,University of Calgary,Institution,2023/2024,2023,2024,38715
Alberta,University of Lethbridge,Institution,2014/2015,2014,2015,8157
Alberta,University of Lethbridge,Institution,2015/2016,2015,2016,8406
Alberta,University of Lethbridge,Institution,2016/2017,2016,2017,8568
Alberta,University of Lethbridge,Institution,2017/2018,2017,2018,8670
Alberta,University of Lethbridge,Institution,2018/2019,2018,2019,8709
Alberta,University of Lethbridge,Institution,2019/2020,2019,2020,8949
Alberta,University of Lethbridge,Institution,2020/2021,2020,2021,8829
Alberta,University of Lethbridge,Institution,2021/2022,2021,2022,9117
Alberta,University of Lethbridge,Institution,2022/2023,2022,2023,8553
Alberta,University of Lethbridge,Institution,2023/2024,2023,2024,8682
